,Purchase Cost,Upgrade to Level 2,Upgrade to Level 3,Upgrade to Level 4,Upgrade to Level 5,Upgrade to Level 6,Upgrade to Level 7,Upgrade to Level 8,Upgrade to Level 9,Upgrade to Level 10,10000
Lemonade Stand,150,180,200,250,300,375,500,1000,1750,4000,
Mini Mart,300,350,425,500,600,800,1500,3000,5000,8000,
Fast Food,1000,1500,2000,2750,3500,4500,5500,6750,8000,9500,
Post Office,8500,9000,9750,10500,11250,12000,14000,16000,18500,21000,
Fancy Restaurant,16000,16750,17500,18750,20000,20550,21750,23000,25000,27000,
Hospital,25000,27000,29500,32000,35500,39000,43750,49000,55500,60000,
High Tech Company,45000,49000,54000,59000,65000,71000,78000,87000,97000,110000,
Power Plant,85000,90000,96000,100000,107000,120000,130000,140000,155000,169000,
Bank,1000,1200,1400,1750,2000,2500,3000,3750,6500,8000,
,,,,,,,,,,,
Capacity Increase,,,,,,,,,,,
Lemonade Stand,10,20,30,50,100,200,300,600,1100,2500,
Mini Mart,25,50,80,120,200,300,600,1000,1500,2000,
Fast Food,100,250,425,700,1000,1500,2000,2500,3000,3500,
Post Office,300,600,900,1400,1800,2000,2500,3000,3500,4000,
Fancy Restaurant,850,1550,2500,3500,4500,5500,5750,6000,6250,6500,
Hospital,2500,4500,7000,9000,11500,13000,14000,16000,17500,18000,
High Tech Company,5000,9000,14000,18000,25000,32000,38000,45000,49000,50000,
Power Plant,20000,29000,40000,52000,65000,70000,72000,74000,76000,78000,
Bank,1000,1600,2000,2750,3250,4100,5000,7000,12000,18000,
,,,,,,,,,,,
Cost/Capacity Increase,15,9,6.666666667,5,3,1.875,1.666666667,1.666666667,1.590909091,1.6,
,12,7,5.3125,4.166666667,3,2.666666667,2.5,3,3.333333333,4,
,10,6,4.705882353,3.928571429,3.5,3,2.75,2.7,2.666666667,2.714285714,
,8.333333333,5,4.166666667,3.214285714,2.916666667,3,3.2,3.333333333,3.571428571,3.75,
,7.058823529,4.35483871,3,2.5,2.222222222,1.918181818,2.043478261,2.166666667,2.4,2.615384615,
,6,3.777777778,2.785714286,2.444444444,2.217391304,2.230769231,2.410714286,2.4375,2.6,2.777777778,
,5,3.222222222,2.428571429,2.166666667,1.8,1.59375,1.526315789,1.488888889,1.571428571,1.8,
,3.75,2.75862069,2.15,1.730769231,1.492307692,1.571428571,1.666666667,1.756756757,1.907894737,2.038461538,
,1,0.75,0.7,0.636363636,0.615384615,0.609756098,0.6,0.535714286,0.541666667,0.444444444,
,,,,,,,,,,,
,,Lemonade Stand,,,,Post Office,,,,High Tech Company,
,Amount per click,Cost,,,Amount per click,Cost,,,Amount per click,Cost,
Item 1,1,125,,Item 1,25,550,,Item 1,50,1800,
Item 2,2,200,,Item 2,35,700,,Item 2,70,2200,
Item 3,5,350,,Item 3,45,800,,Item 3,95,2800,
,Click frequency (times per second),,,,Click frequency (times per second),,,,Click frequency (times per second),,
Employee 1,0.1,200,,Employee 1,0.1,350,,Employee 1,0.1,200,
Employee 2,0.5,900,,Employee 2,0.5,1150,,Employee 2,0.5,900,
Employee 3,1,1500,,Employee 3,1,1850,,Employee 3,1,1500,
,,,,,,,,,,,
,,Mini Mart,,,,Fancy Restaurant,,,,Power Plant,
,Amount per click,Cost,,,Amount per click,Cost,,,Amount per click,Cost,
Item 1,5,200,,Item 1,30,900,,Item 1,80,3000,
Item 2,10,250,,Item 2,35,1050,,Item 2,95,3500,
Item 3,15,400,,Item 3,50,1300,,Item 3,125,4000,
,Click frequency (times per second),,,,Click frequency (times per second),,,,Click frequency (times per second),,
Employee 1,0.1,250,,Employee 1,0.1,200,,Employee 1,0.1,200,
Employee 2,0.5,1000,,Employee 2,0.5,900,,Employee 2,0.5,900,
Employee 3,1,1600,,Employee 3,1,1500,,Employee 3,1,1500,
,,,,,,,,,,,
,,Fast Food,,,,Hospital,,,,,
,Amount per click,Cost,,,Amount per click,Cost,,,,,
Item 1,10,400,,Item 1,45,1300,,,,,
Item 2,20,500,,Item 2,55,1500,,,,,
Item 3,30,600,,Item 3,70,1800,,,,,
,Click frequency (times per second),,,,Click frequency (times per second),,,,,,
Employee 1,0.1,300,,Employee 1,0.1,200,,,,,
Employee 2,0.5,1100,,Employee 2,0.5,900,,,,,
Employee 3,1,1800,,Employee 3,1,1500,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Cost per click,Lemonade Stand,Mini Mart,Fast Food,Post Office,Fancy Restaurant,Hospital,High Tech Company,Power Plant,,,
,125,40,40,22,30,28.88888889,36,37.5,,,
,100,25,25,20,30,27.27272727,31.42857143,36.84210526,,,
,70,26.66666667,20,17.77777778,26,25.71428571,29.47368421,32,,,
